Severity,LO,Sub-outcome,Where,Category,Quote,Issue,Fix direction,Note
medium,4,4a,The five dimensions: questions every business case must survive,F: Accuracy doubt,| Commercial | How will it be paid for and how will resources be sourced?,"'How will it be paid for' is the financial question; the commercial case is about procurement and a viable deal, which is how the memory aid puts it ('can we buy it').",Keep commercial to sourcing and deal viability,Check against APM BoK 8 before changing
medium,4,4a,Creating a business case: the steps / insight lo4-tip-rigour-scales,G: Language,That ties straight back to LO1 and LO2.,The same cross-reference sentence appears in both the study text and its insight.,"Remove it from both, or at least from the text",
medium,5,5a,Sourcing trade-offs: the judgement calls,B: Exam advice in study text,"Four trade-offs to weigh, each of which makes a good scenario answer:",Exam advice inside study text.,move exam angle to an insight,
medium,5,5c,Contract type: two separate questions,B: Exam advice in study text,"Contract type turns on two questions, and you lose marks by merging them:",Exam advice about marks inside study text.,move the marks point to the insight,
medium,5,5c,Reimbursement methods: two further ones the syllabus names,B: Exam advice in study text,"The syllabus lists reimbursement methods as fixed price, cost plus fee, per unit quantity and target cost.",Syllabus talk inside study text.,"introduce the methods as content, not syllabus",
medium,5,5a,insight lo5-tip-public-sector,C: Insight problem,That last row matters for exam scenarios set in the public sector.,"Insight card is shown separately but depends on 'that last row' of a table, so it is orphaned.",make the insight self-contained,
medium,5,5c,Reimbursement methods: two further ones the syllabus names,D: Subheading,Reimbursement methods: two further ones the syllabus names,Heading refers to the syllabus rather than to the content (per unit quantity and target cost).,name the methods in the heading,
medium,5,5c,activity: Match each reimbursement method to how it works,F: Accuracy doubt,"All five the syllabus can ask about, including the two that arrive in the next section.","The syllabus names four methods (not time and materials), and the activity sits after both sections, so 'next section' is wrong.",correct the note,Check against APM BoK 8 before changing
medium,5,5a,Procurement strategy: why it comes first,G: Language,what it costs to own across its whole life,"The list items use 'it' with no antecedent, so the lead-in and bullets do not read as a sentence.",name the item being bought in the lead-in,
medium,5,5a,Strategic sourcing: how close a relationship?,G: Language,Balancing the upside of suppliers who drive profitability against the downside of those who introduce risk.,Orphan sentence fragment following a list lead-in ('Two factors:').,join into a full sentence,
medium,6,6a,WHERE_THIS_FITS,B: Exam advice in study text,Getting those two the wrong way round costs marks in both LO6 and LO7.,Exam advice in the learner intro.,move to an insight,
medium,6,6c,insight lo6-tip-pmo,C: Insight problem,PMO questions usually want the four delivery areas rather than the four models,"PMOs are not a PMQ syllabus outcome, so this claim about exam questions is unfounded, and the PMO detail goes beyond 6c.",trim the PMO content to its information role and drop the claim,
medium,6,6a,Later reviews: across the extended life cycle,E: Relevance / coverage gap,"Audits: ongoing, and independent, which places them nearer assurance than review.","6a requires the benefits of benefits reviews and audits, but each gets one line and no benefit is stated.",add the benefits of benefits reviews and audits,
medium,6,6c,Decisions and actions: communicating them,E: Relevance / coverage gap,Processes should establish ways to communicate changes to documents to relevant stakeholders.,"6c requires communicating actions and decisions to stakeholders, but the section covers document control and implementation instead.",cover how decisions and actions are communicated to stakeholders,
medium,6,6a,Later reviews: across the extended life cycle,F: Accuracy doubt,"Beyond decision gates, two other named review types run later:","Says two, then lists three (post-project review, benefits review, audits); audits are described as ongoing, not later.",fix the count and the heading scope,Check against APM BoK 8 before changing
medium,6,6a,worked example: Gate questions,F: Accuracy doubt,halved benefits at the same cost and risk fail it. A clean delivery record does not buy a go.,Halved benefits do not automatically fail a gate; the case fails only if benefits no longer justify cost and risk.,"say the case must be re-tested, not auto-failed",Check against APM BoK 8 before changing
medium,7,7a,"Governance, assurance and risk: a triangle",A: Non-study content,"APM states the relationship plainly, and it is the most quotable idea in this topic:",Provenance and exam-quoting commentary in study text.,introduce the relationship directly,
medium,7,7a,WHERE_THIS_FITS,B: Exam advice in study text,"Small LO, but it is where the exam tests whether you understand the difference",Exam advice and LO-size meta commentary in the learner intro.,move exam angle to an insight,
medium,7,7a,Scope: the seven questions that shape an assurance approach,B: Exam advice in study text,"The syllabus asks for awareness of scope, so know what gets considered",Syllabus talk and study instruction inside study text.,introduce the table as content,
medium,7,7a,Priorities: what makes an assurance plan effective,B: Exam advice in study text,"Five criteria, and this is the list to carry into the exam whole:",Exam advice inside study text.,move to the insight,
medium,7,7a,The three lines of defence: who assures what,D: Subheading,### Its four core principles,"Plain heading with an unclear referent; the misconceptions attribute these principles to integrated assurance, not the three lines model.",name what the principles belong to,
medium,7,7a,The three lines of defence: who assures what,F: Accuracy doubt,Controls inside the project managing delivery and its risks. Assurance within the initiative,"Calling first-line activity assurance within the initiative contradicts the repeated rule that without independence it is a review, not assurance.",reconcile first-line assurance with the independence rule,Check against APM BoK 8 before changing
medium,8,8a,WHERE_THIS_FITS,B: Exam advice in study text,Nearly every mark in this LO traces back to that.,Exam advice in the learner intro; repeated in the insight and a memory aid.,keep only in the insight,
medium,8,8a,Transition planning: start from the outset,B: Exam advice in study text,Both the syllabus and APM are explicit: you plan the handover from the project's first days.,Syllabus and provenance talk in study text.,state the principle directly,
medium,8,8b,"Knowledge objectives: two aims, two environments",B: Exam advice in study text,This is a useful scenario tool:,Exam advice inside study text.,move to an insight,
medium,8,8c,The transition plan: what it has to settle,B: Exam advice in study text,That third row is where 8c's 'transfer of risks' lives.,Syllabus-outcome talk inside study text.,state the risk transfer point directly,
medium,8,8a,Transition strategy: how to choose one,E: Relevance / coverage gap,Several strategies exist. Four factors decide which:,"The strategies are never named (big bang, phased, parallel running, pilot), yet the worked example asks 'Big bang ... or phased?'.",name and briefly describe the strategies,
medium,8,8a,worked example: Closure activities,F: Accuracy doubt,Can you close the project?,"Contradicts the study text, where the closure report names owners for unresolved matters and legal teams handle ongoing disputes.",align the answer with residual-owner closure,Check against APM BoK 8 before changing
medium,8,8a,Handover contingency: planning for failure,G: Language,or a warranty the project gives the organisation funding it,Garbled phrase; unclear who gives the warranty to whom.,rewrite the warranty clause,
medium,8,8a,Transition: the remaining steps,H: Structure,- the relevant documentation being accepted,"Section is a bare bullet list with no lead-in or text, and the heading 'remaining steps' is vague; the bullets are repeated in 'Risk transfer'.",add a lead-in or merge into acceptance,
medium,9,9a,Benefits: the premise,A: Non-study content,And the organising fact for the whole LO:,"Meta-commentary about the LO structure in the study text, and a sentence opened with 'And'.",Delete the lead-in and state the fact directly.,
medium,9,9a,"Identifying benefits: where it starts, and why it matters",A: Non-study content,That is why LO4 and LO9 keep pointing at each other.,"Writer's aside about how the course modules relate, not study content.",Delete the sentence.,
medium,9,9a,Benefits management: the five processes,B: Exam advice in study text,"The syllabus names these explicitly, so learn them as a sequence with distinct jobs.",Syllabus and study coaching in the study text; the exam point already sits in insight lo9-tip-five-processes.,Remove the sentence or move it into the insight.,
medium,9,9b,Benefits communication: an ongoing activity,D: Subheading,Communication is not one activity: it happens through several established channels.,Heading calls communication 'an ongoing activity' while the first sentence says it is not one activity; the section actually lists channels.,"Retitle to reflect the channels, e.g. 'Benefits communication: the channels'.",
medium,9,9a,The benefit profile: seven items,F: Accuracy doubt,the current baseline: the revenue today,"Baseline and target are defined as revenue, which is wrong for expense savings and all non-financial benefits in the same profile; the pairup activity repeats it.",Define baseline and target as the current and intended measured position of any benefit.,Check against APM BoK 8 before changing
medium,9,9b,"Strategic alignment: structural, not decorative",F: Accuracy doubt,"an initiative produces an outcome (capability), which enables a business change","Chain conflates outcome with capability and drops the output, contradicting the output, outcome, benefit chain taught in 9a (APM: outputs create capability, adoption produces outcomes).","Align the chain with 9a: output, capability, outcome (business change), benefit, strategic objective; fix the lineup activity too.",Check against APM BoK 8 before changing
medium,10,10a,Stakeholder engagement: the five steps,A: Non-study content,"Identify, analyse, plan, act, review. This is the spine of 10a.",Meta-commentary about the outcome structure.,Delete the sentence.,
medium,10,10d,"Engagement: genuine, not performed",A: Non-study content,The strongest point available in 10d:,"Writer's aside about the outcome, not study content.",Delete the lead-in.,
medium,10,10e,Tailoring the message: not simplification,A: Non-study content,The LO6 echo is deliberate:,Writer's aside about course design.,Delete the phrase and keep the advice.,
medium,10,10a,Stakeholders: why they are the whole game,B: Exam advice in study text,And a warning that makes a sharp scenario answer:,Exam advice in the study text.,Remove the lead-in; keep the point as study content or move it to an insight.,
medium,10,10a,Engagement objectives: set by analysis,B: Exam advice in study text,This is the actual relationship 10a asks about.,Syllabus and exam framing inside the study text.,Delete the sentence and start with the content.,
medium,10,10b,Communication plans: built on stakeholder analysis,B: Exam advice in study text,That is the relationship 10b is asking you to explain,Syllabus and exam framing inside the study text.,Delete the clause.,
medium,10,10b,Feedback channels: part of the plan,B: Exam advice in study text,The reasoning is a strong exam line:,Exam advice in the study text.,Remove the phrase and state the reasoning.,
medium,10,10c,Not planning: the cost,B: Exam advice in study text,"Worth being able to state the negative case, because scenario questions usually present the failure rather than the success:","Exam advice in the study text, written as a sentence fragment lead-in.",Replace with a plain lead-in; move the exam point to an insight.,
medium,10,10a,Social and political context: where engagement happens,C: Insight problem,That is a genuine LO1 link most people miss.,"Insight opens with an orphan 'That' referring to study text and is mainly a cross-reference, not a standalone exam insight.",Rewrite as a self-contained exam tip.,
medium,10,10f,Culture: the factor that outweighs the others,D: Subheading,Culture: the factor that outweighs the others,"Heading implies cultural influences outweigh method and language, but the section is about project culture and habits versus tools, a different meaning of culture; content also repeats 10c.","Retitle, e.g. 'Practices matter more than tools', and remove the duplicate.",
medium,10,10a,Stakeholders: why they are the whole game,F: Accuracy doubt,The Body of Knowledge moved away from 'stakeholder management' in its previous edition,Provenance talk that also reads as if the previous edition made the change; the current BoK dropped the term used in the previous edition.,"State the terminology point without edition history, or fix the direction.",Check against APM BoK 8 before changing
medium,10,10d,"Engagement: genuine, not performed",F: Accuracy doubt,"Related, from LO3: stakeholder expectations are now proactively secured rather than merely 'managed'",LO3 is Sustainability; the cross-reference is confusing and the 'secured' claim is unexplained.,Remove the sentence or explain the point without the cross-reference.,Check against APM BoK 8 before changing
medium,10,10e,Communication: it runs both ways,F: Accuracy doubt,"Active listening matters enormously, and so does picking up verbal clues.",APM pairs active listening with picking up non-verbal cues; 'verbal clues' is likely wrong and recurs in the definition and positive-factors table.,Change to non-verbal clues throughout.,Check against APM BoK 8 before changing
medium,10,10e,ACTIVITIES: Which clue set does each one belong to?,F: Accuracy doubt,"{""label"": ""Appearance and expression"", ""bucket"": ""tactile""}","Appearance, expression, posture and movement are visual, not tactile, so the bucket teaches a wrong label.",Rename the bucket (e.g. visual and tactile clues) or re-sort items.,Check against APM BoK 8 before changing
medium,10,10a,KEY_DEFINITIONS: Power-interest grid,F: Accuracy doubt,"plotting their influence and interest, and their attitude for or against the initiative","Contradicts the study text and insight, which say a power-interest grid carries power and interest but not attitude.",Make the definition and the study text agree.,Check against APM BoK 8 before changing
medium,10,10a,Engagement objectives: set by analysis,G: Language,A supportive expert gets 'harness knowledge'; a powerful opponent gets 'minimise or counter opposition'.,"Quoted objective names do not appear in the bullet list above, and other sections use different labels (maintain support, counter opposition, harness expertise/knowledge).",Name the five objectives once in the list and use the same labels throughout.,
medium,10,10e,Communication methods: the range (diagram caption),G: Language,What each communication channel carries — and what it strips out,"Caption contains an em dash, which the owner bans.",Replace the dash with a comma or rephrase.,
medium,11,11a,Negative conflict: how ordinary conflict turns,A: Non-study content,This is the most useful mechanism in 11a.,Meta-commentary about the outcome.,Delete the sentence.,
medium,11,11b,Negative conflict: the impacts,A: Non-study content,The word 'contaminate' is well chosen:,Writer's aside commenting on the source wording.,Delete the aside.,
medium,11,11c,The five conflict strategies: the Thomas-Kilmann model,A: Non-study content,Two points that most summaries drop:,Writer's aside comparing with other study material.,Replace with a neutral lead-in.,
medium,11,11a,Project work: why it generates conflict,B: Exam advice in study text,"Worth knowing for scenario questions, drawing on LO10:","Exam advice and cross-reference in the study text, as a fragment lead-in.",Replace with a neutral lead-in.,
medium,11,11c,Negotiation: a form of conflict,B: Exam advice in study text,"Worth connecting explicitly, because negotiation belongs to conflict management and LO5 examines it.","Exam and cross-LO framing in the study text, as a fragment.",State that negotiation is a form of conflict management.,
medium,11,intro,WHERE_THIS_FITS,F: Accuracy doubt,the syllabus wants you to understand that too little conflict is more dangerous than too much,"Overstates and misattributes: 11b says conflict has positive and negative impacts, not that too little is more dangerous than too much.",State the balanced syllabus point without ranking the dangers.,Check against APM BoK 8 before changing
medium,11,11a,"Conflict: the definition, and where it comes from",F: Accuracy doubt,"Inside a project it shows up in two places: the what, and the how.","Says two places, and calls the four differences 'a list of sources', but the next section gives three source areas including relationships.",Reconcile to the three areas and stop calling the four differences sources.,Check against APM BoK 8 before changing
medium,12,intro,WHERE_THIS_FITS,A: Non-study content,and this content flags where that boundary sits.,"Provenance and course meta-commentary in the intro, with a comma splice ('Be aware going in, the three...').",Remove the provenance note from the intro.,
medium,12,12a,Judgement and decision-making: a performance factor,A: Non-study content,which is the LO11 link and is stated in the leadership chapter too.,Provenance talk about the BoK chapter and a cross-reference.,End the sentence at 'risky shift'.,
medium,12,12a,"Motivation models: Maslow, Herzberg and McGregor",B: Exam advice in study text,"Read this first. Maslow, Herzberg and McGregor are named in the syllabus, but they do not appear in the Body of Knowledge.",Provenance and exam talk opening the study text ('the exam expects you to know').,Introduce the models as standard theory without syllabus or BoK commentary.,
medium,12,12c,Emotional intelligence: why it matters now,B: Exam advice in study text,is the point the syllabus is testing.,Exam framing in the study text.,Delete the clause.,
medium,12,12a,Culture: a leadership output,C: Insight problem,That last one is the highest-value item for a scenario.,"Orphan reference: the section ends with values, so 'that last one' does not clearly point to the blame culture; value ranking is unsupported.",Name the blame-culture principle explicitly in the insight.,
medium,12,12c,Coaching and mentoring: why the style matters,C: Insight problem,reputation is the one people leave out. Asked why you would coach rather than tell ... give two effects,"Insight contradicts itself: it stresses reputation, then recommends two effects that exclude reputation.",Make the recommended answer match the point.,
medium,12,12c,Coaching vs telling: why coaching wins,D: Subheading,It also fits everything else the leadership section asks for:,Heading promises a coaching vs telling comparison but the section lists culture principles; it opens with orphan 'It' and meta 'the leadership section asks for'.,Retitle to match content and open with a full subject.,
medium,12,12c,Coaching and mentoring: why the style matters,E: Relevance / coverage gap,Coaching and mentoring: why the style matters,"12c requires a coaching and mentoring style, but mentoring is never defined or distinguished from coaching; it is mentioned once in passing.",Add a definition of mentoring and how it differs from coaching.,
medium,12,12c,Emotional intelligence: what it does in practice,E: Relevance / coverage gap,APM does not define it at length,"Emotional intelligence is never actually defined (the key definition only says it is increasingly emphasised), leaving 12c's 'role of emotional intelligence' thin; the phrase is also provenance talk.",Add a short definition of emotional intelligence.,
medium,12,12b,"Situational leadership: four states, four styles",F: Accuracy doubt,tracks a journey from direction (telling) through selling and coaching to delegating.,"Mixes two versions of Hersey-Blanchard: the original is telling, selling, participating, delegating (SLII: directing, coaching, supporting, delegating); selling and coaching are the same stage.",Use one version's four styles; fix the lineup activity.,Check against APM BoK 8 before changing
medium,13,13a,WHERE_THIS_FITS,A: Non-study content,"four of the six models the syllabus names for 13a are absent from the Body of Knowledge, and this content marks that boundary explicitly",Intro spends its space on provenance and meta-commentary about the course content rather than introducing the topic.,Remove provenance and meta talk from intro,
medium,13,13a,Team development: the starting position,A: Non-study content,"The job is to take whoever you were given and make them cohere, and that phrasing matters, because it acknowledges the constraint","Refers to 'that phrasing' of an unquoted source, which is provenance commentary a learner cannot follow.",State the point directly without source commentary,
medium,13,13a,Team development: the five stages,A: Non-study content,The leader's role and priorities change as the group matures. This is the core content of 13a.,Meta-commentary about the LO structure inside study text.,Delete the meta sentence,
medium,13,13a,Resilience: building it through role design,A: Non-study content,A practical technique worth knowing: distinguish process work from technical work... and the example given is a business analyst,Filler lead-in and provenance phrasing ('the example given') in study text.,Present the technique and example directly,
medium,13,13a,Team models: the ones the syllabus names,B: Exam advice in study text,Read this before learning them. The syllabus names six models... Treat all of them as general management theory the exam expects,Provenance about the Body of Knowledge and exam expectations sits in study text and the heading is syllabus-framed.,Move provenance/exam note to an insight; retitle to describe the models,
medium,13,13c,EXAM INSIGHT lo13-tip-hybrid,C: Insight problem,"That is the answer to a hybrid-team scenario, and it is highly examinable.","Insight is shown separately but opens with 'That', an orphan reference to study text, and mostly repeats the rule.",Make the insight self-contained,
medium,13,13c,EXAM INSIGHT lo13-tip-ordering,C: Insight problem,The ordering is the answer to 13c.,"13c asks why different leadership approaches are needed; the layer ordering is a how, so the claim misdirects the learner.",Tie the tip to the 'why' (the distance challenges),
medium,13,13b,Team effectiveness: what makes it work,G: Language,Drawing the conditions together:,Section is a near-verbatim restatement of the 13a stages table and factors table (and the wellbeing point is repeated again in the next sections).,Cut or condense to avoid repeating 13a,
medium,14,14a,Protected characteristics: the ones the syllabus names,A: Non-study content,"These are protected characteristics under the Equality Act 2010, which is where the framing comes from, not from the Body of Knowledge.",Provenance talk and syllabus framing in heading and study text.,Drop provenance; retitle as protected characteristics,
medium,14,14b,Diversity plus inclusion: the equation behind it all,A: Non-study content,"APM is unusually direct here, and this is the highest-value point in 14b:",Writer's aside and exam-value ranking in study text.,Remove the aside,
medium,14,14a,Jurisdiction: why location matters,B: Exam advice in study text,"Worth carrying, because scenarios can be set anywhere:",Exam-scenario reasoning in study text.,Move scenario framing to the insight,
medium,14,14b,'From team members to customers': why the phrase matters,B: Exam advice in study text,The syllabus phrase matters. Diversity is not only an internal staffing question: the deeper empathy with end users benefit,Heading and opening are about the syllabus wording rather than the topic; 'the deeper empathy with end users benefit' is awkward.,Retitle to the topic; drop syllabus commentary,
medium,14,14c,Fairness: what it actually means,B: Exam advice in study text,The line most likely to be misunderstood in 14c: ... This maps directly onto the syllabus wording for 14c,Syllabus/LO commentary in study text; the quoted line is also restated immediately after.,Move syllabus mapping to insight; remove repetition,
medium,14,14c,Conscious vs unconscious bias: the difference,F: Accuracy doubt,"Harder to identify, and correspondingly harder to police",Legal exposure row implies only conscious bias carries legal risk; under the Equality Act discrimination is unlawful regardless of intent.,Note that discriminatory outcomes of unconscious bias are also unlawful,Check against APM BoK 8 before changing
medium,14,14c,Facilitating contributions: in practice,G: Language,Drawing the specific techniques together:,"Section repeats the 14b 'once the team exists' table nearly item for item, with non-parallel list items.",Cut or cross-refer briefly,
medium,15,15a,"CPD ownership: three participants, one owner",B: Exam advice in study text,"This is the heart of 15a, because the syllabus asks specifically about the individual's role",Syllabus commentary opens the study text.,Move to insight,
medium,15,15c,The regulatory environment: what it reaches into,B: Exam advice in study text,"The syllabus asks about the impact on projects, and APM names the processes affected: ... The syllabus also names working conditions",Syllabus commentary used twice as section lead-ins.,State content directly; move syllabus mapping to insight,
medium,15,15c,EXAM INSIGHT lo15-tip-processes,C: Insight problem,That table answers a 15c impact question on its own.,"Overclaims: 15c names working conditions, governance and sustainability, which the table does not cover; also an orphan reference.",Point to table plus the three named areas,
medium,15,15a,Qualifications and accreditation: why they carry weight,F: Accuracy doubt,"| Practitioner | Project Management Qualification (PMQ), the one you are taking |","'Practitioner' is not APM's level label for PMQ (APM's former Practitioner Qualification was a different award), so level names look invented.",Use APM's own descriptions or drop level labels,Check against APM BoK 8 before changing
medium,15,15b,ACTIVITIES lineup 'most binding first',F: Accuracy doubt,"Stack the standards, most binding first","Ranks discretionary standards as more binding than organisational policy, yet the text says org policy sits inside all the above; bindingness order is contestable.",Reframe as nesting or fix order,Check against APM BoK 8 before changing
